"egris_egrid"
CH227443320696
CH670676363286
CH227514320639
CH284332067471
CH381432067543
CH254332740681
CH567632063654
CH240632744357
CH683632067625
CH293274430660
CH210643327405
CH693276360624
CH233274064338
CH207406433247
CH610636327627
CH340632751449
CH427443320628
CH251432750685
CH370675143269
CH267532061411
CH440632744386
CH267432064309
CH393275140607
CH667632063620
CH627636320666
CH370674433288
CH307506143273
CH384332067437
CH754732760688
CH393274430626
CH310614327537
CH307406433213
CH327514320605
CH327443320662
CH333275061424
CH310643327468
CH333274064304
CH427514320668
CH470675143235
CH351432750651
CH340632744323
CH367532061474
CH484332067403
CH354332740647
CH633276063685
CH481432067509
CH640632763619
CH770676473219
CH493274430689
CH470674433254
CH367432064372
CH467432064338
CH407506143239
CH410643327434
CH493275140670
CH833274062051
CH410614327503
CH433275061487
CH407406433276
CH793276470654
CH653632760631
CH784732067682
CH433274064367
CH440632751415
CH982032067466
CH451432750617
CH707506163228
CH454332740613
CH727647320630
CH570674433220
CH807606473268
CH584332067466
CH707606473205
CH581432067572
CH710647327688
CH910620327471
CH810620327408
CH952032740676
CH467532061440
CH733276064740
CH852032740613
CH827420320602
CH570675143201
CH840632742070
CH793275160659
CH710616327577
CH867432062022
CH740632764771
CH970674203250
CH593275140636
CH727516320645
CH810647327654
CH740632751608
CH767632064772
CH751632750655
CH884732067648
CH993274200685
CH893275160625
CH907406203272
CH733275061680
CH133274062095
CH767532061633
CH870676473282
CH152032740657
CH933274062017
CH807506163291
CH927420320665
CH154832760671
CH940632742036
CH870675163287
CH133276064849
CH881632067513
CH967432062085
CH107406203253
CH182032067447
CH810616327543
CH827516320611
CH193274200666
CH170674203231
CH833275061646
CH110620327452
CH851632750621
CH127420320646
CH981632067576
CH127648320631
CH240632742080
CH970675163253
CH140632742017
CH840632751671
CH167432062066
CH282032067413
CH270674203294
CH140632764880
CH867532061696
CH293274200632
CH207406203219
CH233276064815
CH993275160688
CH210620327418
CH227420320612
CH284832067631
CH907506163257
CH233274062061
CH910616327509
CH252032740623
CH927516320674
CH967532061662
CH467432062160
CH167632064881
CH267432062032
CH933275061612
CH510621327404
CH293276480627
CH940632751637
CH593274210624
CH170675163234
CH270676483289
CH951632750684
CH193275160669
CH370674203260
CH384832067694
CH181632067557
CH540632742174
CH207606483275
CH570674213286
CH127516320655
CH133275061690
CH582132067478
CH107506163238
CH210648327655
CH693274210687
CH110616327587
CH507406213211
CH140632751618
CH240632764846
CH151632750665
CH533274062155
CH527421320695
CH227648320694
CH507506273263
CH652132740654
